filename;brand;name;description;tags;Business Unit;Asset Type;Asset Sub-Type;Asset Product-Type;Perspective;Channel;Channel Sub-Type;Product Type;Product Category;Product Sub-Category;Product Sub-Sub Category;SKU;Alt Text;Locale;Department;Promotion/Event;Year;Usage Rights;File Type
overview-pedestals-0.png;;washcombo-all-in-one_landing-page_overview-pedestals-0;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
overview-pedestals-1.png;;washcombo-all-in-one_landing-page_overview-pedestals-1;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
overview-pedestals-2.png;;washcombo-all-in-one_landing-page_overview-pedestals-2;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
placeholder.png;;washcombo-all-in-one_landing-page_placeholder;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
power-of-one-bg-mobile.jpg;;washcombo-all-in-one_landing-page_power-of-one-bg-mobile;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy, Mobile;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
power-of-one-bg-tablet.jpg;;washcombo-all-in-one_landing-page_power-of-one-bg-tablet;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy, Tablet;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
power-of-one-bg.jpg;;washcombo-all-in-one_landing-page_power-of-one-bg;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
spark.png;;washcombo-all-in-one_landing-page_spark;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
In-Between-all-in-one.jpg;;washcombo-all-in-one_landing-page_In-Between-all-in-one;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
In-Between-dimensions.jpg;;washcombo-all-in-one_landing-page_In-Between-dimensions;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
